
=== START 2026-03-09 23:56:19 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNHLTOTAL-26MAR09NYRPHI-6 --yes-budget-cents 500 --no-budget-cents 500
23:56:19 INFO START | environment=PROD ticker=KXNHLTOTAL-26MAR09NYRPHI-6 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
00:03:21 INFO AMEND_OK | side=no price_dollars=0.4000 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:21 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4000.00
00:03:21 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=62.00
00:03:22 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:26 INFO AMEND_OK | side=no price_dollars=0.4000 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:27 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:36 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4000.00
00:03:36 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=0.00
00:03:44 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=13.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:45 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=13.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:46 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:03:51 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4000.00
00:03:51 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=0.00
00:04:07 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4000.00
00:04:07 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=0.00
00:04:13 INFO CANCEL_REQUESTED | side=yes reason=refresh_expiring_quote order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:04:13 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:04:13 INFO CREATE_OK | side=yes price_dollars=0.5200 remaining_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:13 INFO CANCEL_REQUESTED | side=no reason=refresh_expiring_quote order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:04:13 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:04:13 INFO CREATE_OK | side=no price_dollars=0.3800 remaining_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:14 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:19 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:19 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:20 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:21 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:22 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=0.00
00:04:22 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:04:22 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:23 INFO AMEND_OK | side=yes price_dollars=0.5500 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:37 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=0.00
00:04:37 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:04:46 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:51 INFO AMEND_OK | side=no price_dollars=0.2800 total_fillable_contracts=17.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:52 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=0.00
00:04:52 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:04:52 INFO AMEND_OK | side=no price_dollars=0.2700 total_fillable_contracts=18.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:53 INFO AMEND_OK | side=no price_dollars=0.2600 total_fillable_contracts=19.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:54 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:54 INFO AMEND_OK | side=no price_dollars=0.3100 total_fillable_contracts=15.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:55 INFO AMEND_OK | side=yes price_dollars=0.5800 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:56 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:04:59 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:04:59 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:01 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=8.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:01 INFO AMEND_OK | side=no price_dollars=0.2300 total_fillable_contracts=21.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:02 INFO AMEND_OK | side=yes price_dollars=0.5500 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:03 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
00:05:03 INFO AMEND_OK | side=no price_dollars=0.2400 total_fillable_contracts=20.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:05 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:06 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a
00:05:07 INFO QUEUE_POSITION | side=yes order_id=054583d3-4f23-4d36-bc00-6e8c1e202999 ahead_contracts=0.00
00:05:07 INFO QUEUE_POSITION | side=no order_id=04f9c3f4-58f0-46ce-b603-0b61c360883a ahead_contracts=0.00
00:05:08 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=054583d3-4f23-4d36-bc00-6e8c1e202999
